ï»¿Estado,Sorteo,Fecha,Venta_Estado,ID
San Luis Potosi,EDUCATIVO 33,17/11/18 0:00,6407.655172,24
Sinaloa,EDUCATIVO 33,17/11/18 0:00,20681.17241,25
Sonora,EDUCATIVO 33,17/11/18 0:00,20152.17241,26
Tabasco,EDUCATIVO 33,17/11/18 0:00,8918.896552,27
Tamaulipas,EDUCATIVO 33,17/11/18 0:00,34141.41379,28
Veracruz de Ignacio de la Llave,EDUCATIVO 33,17/11/18 0:00,7107.241379,30
Yucatan,EDUCATIVO 33,17/11/18 0:00,2960.068966,31
Zacatecas,EDUCATIVO 33,17/11/18 0:00,4193.310345,32
Oficina Virtual,EDUCATIVO 33,17/11/18 0:00,28222,33
Aguascalientes,EDUCATIVO 34,23/02/19 0:00,3982.827586,1
Baja California,EDUCATIVO 34,23/02/19 0:00,6966,2
Baja California Sur,EDUCATIVO 34,23/02/19 0:00,7035.62069,3
Coahuila de Zaragoza,EDUCATIVO 34,23/02/19 0:00,23797.75862,5
Colima,EDUCATIVO 34,23/02/19 0:00,9121.103448,6
Chiapas,EDUCATIVO 34,23/02/19 0:00,0,7
Chihuahua,EDUCATIVO 34,23/02/19 0:00,14068.31034,8
Durango,EDUCATIVO 34,23/02/19 0:00,4497.896552,10
Guanajuato,EDUCATIVO 34,23/02/19 0:00,7448.37931,11
Guerrero,EDUCATIVO 34,23/02/19 0:00,1557.862069,12
Hidalgo,EDUCATIVO 34,23/02/19 0:00,0,13
Jalisco,EDUCATIVO 34,23/02/19 0:00,50884.37931,14
Mexico,EDUCATIVO 34,23/02/19 0:00,22659.86207,15
Michoacan de Ocampo,EDUCATIVO 34,23/02/19 0:00,7275.137931,16
Morelos,EDUCATIVO 34,23/02/19 0:00,2456.275862,17
Nayarit,EDUCATIVO 34,23/02/19 0:00,6552.724138,18
Nuevo Leon,EDUCATIVO 34,23/02/19 0:00,139360.931,19
Oaxaca,EDUCATIVO 34,23/02/19 0:00,0,20
Puebla,EDUCATIVO 34,23/02/19 0:00,7394.310345,21
Queretaro,EDUCATIVO 34,23/02/19 0:00,10666.31034,22
Quintana Roo,EDUCATIVO 34,23/02/19 0:00,1885,23
San Luis Potosi,EDUCATIVO 34,23/02/19 0:00,5675.241379,24
Sinaloa,EDUCATIVO 34,23/02/19 0:00,22013.68966,25
Sonora,EDUCATIVO 34,23/02/19 0:00,19940.44828,26
Tabasco,EDUCATIVO 34,23/02/19 0:00,8780.624138,27
Tamaulipas,EDUCATIVO 34,23/02/19 0:00,34476.10345,28
Veracruz de Ignacio de la Llave,EDUCATIVO 34,23/02/19 0:00,7234.586207,30
Yucatan,EDUCATIVO 34,23/02/19 0:00,2744.758621,31
Zacatecas,EDUCATIVO 34,23/02/19 0:00,4396.344828,32
Oficina Virtual,EDUCATIVO 34,23/02/19 0:00,30017,33
Aguascalientes,EDUCATIVO 35,18/05/19 0:00,3123.206897,1
Baja California,EDUCATIVO 35,18/05/19 0:00,5007.413793,2
Baja California Sur,EDUCATIVO 35,18/05/19 0:00,6717.465517,3
Coahuila de Zaragoza,EDUCATIVO 35,18/05/19 0:00,21053.2069,5
Colima,EDUCATIVO 35,18/05/19 0:00,9010.206897,6
Chiapas,EDUCATIVO 35,18/05/19 0:00,0,7
Chihuahua,EDUCATIVO 35,18/05/19 0:00,12173.7931,8
Durango,EDUCATIVO 35,18/05/19 0:00,4050,10
Guanajuato,EDUCATIVO 35,18/05/19 0:00,7260.275862,11
Guerrero,EDUCATIVO 35,18/05/19 0:00,1174.689655,12
Hidalgo,EDUCATIVO 35,18/05/19 0:00,0,13
Jalisco,EDUCATIVO 35,18/05/19 0:00,45534.7931,14
Mexico,EDUCATIVO 35,18/05/19 0:00,22433.86207,15
Michoacan de Ocampo,EDUCATIVO 35,18/05/19 0:00,7173,16
Morelos,EDUCATIVO 35,18/05/19 0:00,2272.551724,17
Nayarit,EDUCATIVO 35,18/05/19 0:00,7199.655172,18
Nuevo Leon,EDUCATIVO 35,18/05/19 0:00,123725.5862,19
Oaxaca,EDUCATIVO 35,18/05/19 0:00,0,20
Puebla,EDUCATIVO 35,18/05/19 0:00,6240.793103,21
Queretaro,EDUCATIVO 35,18/05/19 0:00,8613.448276,22
Quintana Roo,EDUCATIVO 35,18/05/19 0:00,2030,23
San Luis Potosi,EDUCATIVO 35,18/05/19 0:00,4962.034483,24
Sinaloa,EDUCATIVO 35,18/05/19 0:00,20766.65517,25
Sonora,EDUCATIVO 35,18/05/19 0:00,18844.37931,26
Tabasco,EDUCATIVO 35,18/05/19 0:00,8460.448276,27
Tamaulipas,EDUCATIVO 35,18/05/19 0:00,29935.37931,28
Veracruz de Ignacio de la Llave,EDUCATIVO 35,18/05/19 0:00,6382.965517,30
Yucatan,EDUCATIVO 35,18/05/19 0:00,2611.689655,31
Zacatecas,EDUCATIVO 35,18/05/19 0:00,3467.655172,32
Oficina Virtual,EDUCATIVO 35,18/05/19 0:00,29640,33
Aguascalientes,EDUCATIVO 36,17/08/19 0:00,3728.15,1
Baja California,EDUCATIVO 36,17/08/19 0:00,6009.35,2
Baja California Sur,EDUCATIVO 36,17/08/19 0:00,6439.866667,3
Coahuila de Zaragoza,EDUCATIVO 36,17/08/19 0:00,21340.98333,5
Colima,EDUCATIVO 36,17/08/19 0:00,8140.216667,6
Chiapas,EDUCATIVO 36,17/08/19 0:00,0,7
Chihuahua,EDUCATIVO 36,17/08/19 0:00,12507.68333,8
Durango,EDUCATIVO 36,17/08/19 0:00,3876.766667,10
Guanajuato,EDUCATIVO 36,17/08/19 0:00,6729.083333,11
Guerrero,EDUCATIVO 36,17/08/19 0:00,998.4833333,12
Hidalgo,EDUCATIVO 36,17/08/19 0:00,0,13
Jalisco,EDUCATIVO 36,17/08/19 0:00,46990.65,14
Mexico,EDUCATIVO 36,17/08/19 0:00,21070.95,15
Michoacan de Ocampo,EDUCATIVO 36,17/08/19 0:00,7151.433333,16
Morelos,EDUCATIVO 36,17/08/19 0:00,2186.566667,17
Nayarit,EDUCATIVO 36,17/08/19 0:00,7139.366667,18
Nuevo Leon,EDUCATIVO 36,17/08/19 0:00,128130.3767,19
Oaxaca,EDUCATIVO 36,17/08/19 0:00,0,20
Puebla,EDUCATIVO 36,17/08/19 0:00,7058.133333,21
Queretaro,EDUCATIVO 36,17/08/19 0:00,9143.75,22
Quintana Roo,EDUCATIVO 36,17/08/19 0:00,1868.416667,23
San Luis Potosi,EDUCATIVO 36,17/08/19 0:00,4898.9,24
Sinaloa,EDUCATIVO 36,17/08/19 0:00,19934.96667,25
Sonora,EDUCATIVO 36,17/08/19 0:00,19473.06667,26
Tabasco,EDUCATIVO 36,17/08/19 0:00,8549.966667,27
Tamaulipas,EDUCATIVO 36,17/08/19 0:00,31518.85,28
Veracruz de Ignacio de la Llave,EDUCATIVO 36,17/08/19 0:00,6096.4,30
Yucatan,EDUCATIVO 36,17/08/19 0:00,2516.533333,31
Zacatecas,EDUCATIVO 36,17/08/19 0:00,3504.09,32
Oficina Virtual,EDUCATIVO 36,17/08/19 0:00,44240,33
Aguascalientes,EDUCATIVO 37,23/11/19 0:00,3927.494167,1
Baja California,EDUCATIVO 37,23/11/19 0:00,5779.587,2
Baja California Sur,EDUCATIVO 37,23/11/19 0:00,6781.831833,3
Coahuila de Zaragoza,EDUCATIVO 37,23/11/19 0:00,22646.27667,5
Colima,EDUCATIVO 37,23/11/19 0:00,7496.936167,6
Chiapas,EDUCATIVO 37,23/11/19 0:00,0,7
Chihuahua,EDUCATIVO 37,23/11/19 0:00,11916.08383,8
Durango,EDUCATIVO 37,23/11/19 0:00,4476.403333,10
Guanajuato,EDUCATIVO 37,23/11/19 0:00,6888.828333,11
Guerrero,EDUCATIVO 37,23/11/19 0:00,1175.011167,12
Hidalgo,EDUCATIVO 37,23/11/19 0:00,0,13
Jalisco,EDUCATIVO 37,23/11/19 0:00,47614.36383,14
Mexico,EDUCATIVO 37,23/11/19 0:00,20322.0515,15
Michoacan de Ocampo,EDUCATIVO 37,23/11/19 0:00,6814.729667,16
Morelos,EDUCATIVO 37,23/11/19 0:00,2090.916667,17
Nayarit,EDUCATIVO 37,23/11/19 0:00,6786.567167,18
Nuevo Leon,EDUCATIVO 37,23/11/19 0:00,124065.3477,19
Oaxaca,EDUCATIVO 37,23/11/19 0:00,0,20
Puebla,EDUCATIVO 37,23/11/19 0:00,8118.329333,21
Queretaro,EDUCATIVO 37,23/11/19 0:00,9206.3205,22
Quintana Roo,EDUCATIVO 37,23/11/19 0:00,1624.143333,23
San Luis Potosi,EDUCATIVO 37,23/11/19 0:00,5002.5725,24
Sinaloa,EDUCATIVO 37,23/11/19 0:00,19337.81067,25
Sonora,EDUCATIVO 37,23/11/19 0:00,18359.17567,26
Tabasco,EDUCATIVO 37,23/11/19 0:00,8848.924,27
Tamaulipas,EDUCATIVO 37,23/11/19 0:00,31385.14267,28
Veracruz de Ignacio de la Llave,EDUCATIVO 37,23/11/19 0:00,6273.57,30
Yucatan,EDUCATIVO 37,23/11/19 0:00,2145.3525,31
Zacatecas,EDUCATIVO 37,23/11/19 0:00,3617.333833,32
Oficina Virtual,EDUCATIVO 37,23/11/19 0:00,35100.0693,33
Aguascalientes,EDUCATIVO 38,22/02/20 0:00,4648,1
Baja California,EDUCATIVO 38,22/02/20 0:00,7148,2
Baja California Sur,EDUCATIVO 38,22/02/20 0:00,7304,3
Coahuila de Zaragoza,EDUCATIVO 38,22/02/20 0:00,23980,5
Colima,EDUCATIVO 38,22/02/20 0:00,9201,6
Chiapas,EDUCATIVO 38,22/02/20 0:00,0,7
Chihuahua,EDUCATIVO 38,22/02/20 0:00,14804,8
Durango,EDUCATIVO 38,22/02/20 0:00,4753,10
Guanajuato,EDUCATIVO 38,22/02/20 0:00,7677,11
Guerrero,EDUCATIVO 38,22/02/20 0:00,1427,12
Hidalgo,EDUCATIVO 38,22/02/20 0:00,8830,13
Jalisco,EDUCATIVO 38,22/02/20 0:00,54354,14
Mexico,EDUCATIVO 38,22/02/20 0:00,23793,15
Michoacan de Ocampo,EDUCATIVO 38,22/02/20 0:00,7873,16
Morelos,EDUCATIVO 38,22/02/20 0:00,2149,17
Nayarit,EDUCATIVO 38,22/02/20 0:00,6355,18
Nuevo Leon,EDUCATIVO 38,22/02/20 0:00,142958,19
Oaxaca,EDUCATIVO 38,22/02/20 0:00,0,20
Puebla,EDUCATIVO 38,22/02/20 0:00,0,21
Queretaro,EDUCATIVO 38,22/02/20 0:00,9954,22
Quintana Roo,EDUCATIVO 38,22/02/20 0:00,1728,23
San Luis Potosi,EDUCATIVO 38,22/02/20 0:00,6060,24
Sinaloa,EDUCATIVO 38,22/02/20 0:00,20916,25
Sonora,EDUCATIVO 38,22/02/20 0:00,19737,26
Tabasco,EDUCATIVO 38,22/02/20 0:00,8813,27
Tamaulipas,EDUCATIVO 38,22/02/20 0:00,33551,28
Veracruz de Ignacio de la Llave,EDUCATIVO 38,22/02/20 0:00,6987,30
Yucatan,EDUCATIVO 38,22/02/20 0:00,2813,31
Zacatecas,EDUCATIVO 38,22/02/20 0:00,4155,32
Oficina Virtual,EDUCATIVO 38,22/02/20 0:00,31000,33
