"conjunto_de_datos_pibt_cte2019_t3.csv","Valores constantes a precios de 2013|Millones de pesos a precios de 2013"
"conjunto_de_datos_pibt_cte_var2019_t3.csv","Valores constantes a precios de 2013|Variación porcentual anual"
"conjunto_de_datos_pibt_crr2019_t3.csv","Valores corrientes|Millones de pesos a precios corrientes"
"conjunto_de_datos_pibt_crr_var2019_t3.csv","Valores corrientes|Variación porcentual anual"
"conjunto_de_datos_pibt_est_crr2019_t3.csv","Valores corrientes|Estructura porcentual"
"conjunto_de_datos_pibt_ipi2019_t3.csv","Índice de precios implícitos|Índice base 2013=100"
"conjunto_de_datos_pibt_ipi_var2019_t3.csv","Índice de precios implícitos|Variación porcentual anual"
