Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",2212.889,2602.179,2214.464,2672.826,2754.196,2567.3990000000003,2293.589,2772.02,3104.75,3674.335,3546.929,3621.465,3782.5570000000002,3948.98,3662.267,4014.974
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",184.512,193.32,173.506,175.817,167.72,164.288,162.571,158.684,167.282,177.639,165.83,171.873,194.909,204.191,199.946,230.661
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,234.023,195.935,202.261,172.496,189.979,204.46,205.703,226.544,256.356,290.261,271.55,277.648,241.026,300.726,301.806,380.464
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,43430.521,44494.804000000004,45216.30100000001,48164.469000000005,48619.748999999996,50729.545000000006,49359.815,51074.661000000015,53233.006,54426.38399999999,56090.10800000001,56926.17999999999,59029.488,60095.73000000001,61654.947,62446.490000000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,2212.963,2342.72,2485.523,2682.915,2974.227,3158.21,3010.267,3337.191,3592.052,4025.075,4034.68,4246.877,4540.112,4986.171,5627.32,5934.412
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,5535.703,5491.564,5513.105,5933.084,6070.13,6056.36,5235.643,5556.405,6341.533,6500.588,7441.488,7503.1,7935.295,8581.697,8993.382,9138.818
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",5770.454,6045.741,6383.782,7372.613,7605.261,7759.862,7153.79,7460.371,7522.659,7488.348,7573.467,7375.882,7188.297,7109.214,6742.327,6498.737
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,138.991,156.192,177.129,204.953,243.408,259.255,271.779,281.609,299.93,368.442,401.151,418.112,519.75,670.77,696.65,790.864
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,489.824,561.869,560.47,679.05,763.357,968.758,971.995,1156.175,1270.607,1515.154,1692.242,1897.074,2161.133,2250.88,2285.79,2547.377
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,11329.563,11836.725,12353.865,12803.769,13244.367,13705.944,14080.894,14599.641,15057.237,15476.554,15654.105,15971.703,16363.849,16523.813,16603.83,16799.778
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",346.82,331.696,350.159,377.578,423.318,454.986,401.895,426.697,455.21,424.431,394.474,422.228,465.347,488.3,517.389,497.942
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",747.062,771.668,823.5,862.088,1007.376,1179.842,1140.994,1213.887,1288.814,1465.907,1568.818,1471.715,1379.827,1483.404,1596.62,1682.429
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,5289.257,5165.204,5310.592,5248.553,5400.516,5648.465,5618.76,5620.552,5606.148,5511.739,5539.108,5621.189,6064.101,5882.706,6268.504,6239.824
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2095.377,2104.993,2076.443,2272.12,2265.287,2528.815,2579.483,2632.222,2904.745,2901.415,2978.34,2961.98,2796.803,2786.773,2729.951,2845.68
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",123.007,115.191,118.345,122.977,122.572,124.462,129.431,130.468,137.446,139.461,134.462,133.263,133.872,146.016,143.287,149.417
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,2494.659,2907.019,2547.686,2734.577,1788.716,1481.318,1374.307,1314.086,1252.54,1285.599,1260.227,1266.407,1541.064,1560.959,1703.397,1489.591
