Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,9609.67,9958.623,9833.93,10146.649,10647.171,10827.381,11001.044,11079.958,11198.161,11817.458,12445.358,13131.461,13717.77,13784.103,12840.494,12797.422
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,721.051,1077.22,582.59,573.262,540.341,512.428,527.521,508.924,567.044,568.052,576.256,812.419,1360.746,1586.564,1617.08,1664.604
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",474.559,483.767,429.515,472.666,471.249,450.526,535.446,514.434,562.875,572.1510000000001,584.015,560.668,531.029,601.8299999999999,521.526,562.489
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",954.356,896.2470000000001,814.706,797.692,779.6859999999999,769.8530000000001,713.865,730.0260000000001,737.6790000000001,796.968,826.7239999999999,845.087,813.327,832.134,686.562,654.059
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,1949.679,2376.731,2132.754,2032.635,2296.829,2008.12,2149.728,2336.482,2445.507,2431.506,2393.144,2283.073,2476.232,2320.093,2427.408,2419.634
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,592.004,585.335,533.286,548.986,547.472,563.3530000000001,573.633,537.496,524.097,495.781,475.70399999999995,486.706,490.16600000000005,509.765,499.704,495.38599999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,2132.618,2309.927,2444.654,2464.6639999999998,2409.949,2547.9210000000003,3159.8770000000004,3148.048,3130.201,3259.319,3081.2299999999996,3038.288,3153.859,3148.391,3311.413,3321.21
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,502.456,544.102,640.555,670.668,686.27,666.919,608.177,612.428,626.708,572.478,555.432,620.488,600.54,572.7,530.761,505.499
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,20359.004,21685.204999999998,23420.574,23183.883,24783.624,22955.767,13701.809,17867.963,14327.734,14181.107,16008.139000000001,17902.847999999998,13776.356,13761.231000000002,15598.982,14185.903999999999
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",441.577,419.153,425.091,398.069,444.986,494.401,485.83799999999997,502.59,557.641,595.456,737.896,567.739,556.3800000000001,532.639,519.813,502.645
