Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,27.984,31.519,36.255,36.917,38.976,41.371,42.037,40.758,45.418,46.452,48.775,50.262,55.533,65.255,49.359,41.647
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",21.836,23.761,22.853,21.877,21.447,20.86,21.884,23.464000000000002,22.236,21.078,20.081999999999997,22.153,29.118000000000002,29.873,30.489,28.637999999999998
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",58.807,61.775,63.315,63.94,58.961,55.092,58.393,68.818,67.342,70.254,73.297,64.914,61.516,66.218,75.876,69.238
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,41.466,44.147,37.017,40.364,47.765,48.674,41.835,41.692,35.312,35.538,36.48,43.786,37.418,37.006,35.101,31.664
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,30.532,31.897000000000002,32.41,34.778,35.412,35.463,35.339,42.242999999999995,35.196,32.919,31.823999999999998,28.826999999999998,31.761000000000003,24.773999999999997,26.311,28.572000000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,153.37900000000002,144.073,134.697,130.129,126.34299999999999,133.617,124.14699999999999,172.09199999999998,226.257,219.518,186.874,170.431,193.066,206.033,185.57000000000002,191.428
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,117.904,130.309,186.98,182.326,183.119,214.995,195.249,197.272,206.304,157.282,132.039,128.14,161.428,138.483,136.669,125.091
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,389.307,422.851,304.41700000000003,307.7,317.056,318.15500000000003,238.05,284.92,310.923,261.921,168.93,130.847,116.29400000000001,138.434,140.469,141.898
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",15.983,77.48,70.36099999999999,79.618,80.92,246.931,251.475,215.386,215.78199999999998,249.789,268.558,225.07299999999998,209.86,283.788,335.992,326.255
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",45.292,48.371,55.193,52.731,47.721,47.647,49.946,55.925,54.437,52.819,51.365,49.219,48.365,45.984,48.678,48.949
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,23.695,25.441,28.081,32.647,30.876,33.781,34.515,38.017,36.94,32.473,31.37,36.504,28.268,36.614,45.212,55.519
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,43926.00899999999,45142.767,46832.83,49390.59500000001,51764.966,53082.331,51672.89199999999,55508.35099999999,58210.641,60911.664000000004,61662.77999999999,64485.376,65749.06699999998,71183.54699999999,75606.91,78453.11
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,4378.831,4389.611,4671.38,5180.308,5312.225,5306.772,5199.892,6092.52,7029.586,7540.548,7217.478,7686.041,7666.07,9817.148,10856.947,11443.854
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,5962.756,6492.456,6879.967,7387.916,8282.414,8596.698,7554.961,8654.165,9411.637,9398.416,10139.483,10928.944,10693.355,11872.317,13372.249,13961.669
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",5739.132,6035.575,6178,6731.233,7269.156,7316.805,6510.711,7563.311,8275.101,8764.785,9083.544,9635.698,10145.229,10780.723,11646.567,12451.223
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,256.592,283.269,328.894,407.333,503.925,555.26,604.019,643.779,688.512,890.234,971.931,1059.992,1149.195,1445.13,1586.506,1740.83
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,634.429,776.394,740.801,855.57,1006.303,1104.768,1209.945,1548.202,1582.069,2032.026,2203.755,2278.354,2702.047,2938.059,3178.61,3251.077
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,8273.725,8477.126,8668.518,9126.408,9592.042,10073.753,10308.744,10685.624,11050.856,11381.63,11521.634,11776.381,12104.948,12448.774,12740.895,13084.128
