Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,7509114.891999998,7812780.831999999,8023613.163000002,8377968.037999998,8634174.109,8836558.096,8472404.203,8951187.402999999,9352965.275999997,9734567.062,9946401.736000001,10211308.646,10645369.358,11057381.099,11398347.029000001,11727948.256
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,72009.55,74816.343,76438.07500000001,79307.629,83333.172,86381.545,81328.94799999999,85021.85899999998,89681.609,93741.397,95952.793,100790.016,106388.411,118790.48899999999,125107.49399999999,129850.52300000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,216751.928,225355.74099999998,234497.62300000002,243139.724,249761.82700000005,251116.69900000002,235825.28199999998,249237.964,262669.64700000006,273059.90300000005,280937.80199999997,283213.03699999995,298628.265,314300.461,323581.76199999993,328181.708
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,50911.617000000006,54964.74199999999,60419.797000000006,65320.854999999996,71244.065,70766.80799999999,67399.4,73218.196,76989.76900000001,81161.184,80983.172,81622.25899999999,86716.598,92482.97200000002,97221.93,104199.44000000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,57163.70899999999,60183.17799999999,62625.79699999999,64870.14600000001,65862.68500000001,68581.09900000002,65585.823,68170.75200000001,71980.916,74425.47899999999,76072.77799999999,78499.56999999999,79308.06599999999,75998.58499999998,74908.15299999999,76738.892
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,183688,191642.903,198737.51499999998,207867.22699999998,215162.71899999998,218850.68099999995,207872.07499999998,223594.36000000002,235159.601,244957.138,248576.123,250895.03000000003,261396.58400000006,270125.213,281516.964,289902.10599999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,43926.00899999999,45142.767,46832.83,49390.59500000001,51764.966,53082.331,51672.89199999999,55508.35099999999,58210.641,60911.664000000004,61662.77999999999,64485.376,65749.06699999998,71183.54699999999,75606.91,78453.11
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,144387.97299999997,149061.102,153741.82499999998,155556.63,162896.576,163650.034,160902.758,165665.246,173594.32499999998,178575.03100000002,183383.42299999998,192751.711,194561.88200000004,200676.74699999997,204109.331,204595.26000000007
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,199122.708,205981.537,213381.81799999997,227212.104,235072.52199999997,243496.83899999998,223917.875,236301.60499999998,246718.06000000006,256983.607,260299.21999999997,264063.671,278317.649,289717.35500000004,298239.638,307490.94299999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1843621.063,1927989.511,1956996.2980000002,2044095.6649999998,2088208.4579999999,2142211.214,2063603.9629999998,2162207.77,2235240.891,2325889.8979999996,2381672.4390000002,2428084.43,2554054.38,2666729.472,2750495.668,2830981.946
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,85320.673,88903.42299999998,91555.90700000002,94485.87100000001,96529.78899999999,98654.912,95482.39,101235.81399999998,104788.40200000002,108426.01599999999,110830.15999999996,113053.04500000001,116505.87000000001,121695.22699999998,119181.33199999998,121556.81599999999
