Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",109.843,114.548,114.049,117.722,119.906,91.725,87.116,97.335,108.91,99.625,97.046,95.955,106.084,102.283,93.512,106.189
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,22.819,21.739,22.448,23.36,21.658,21.834,26.037,30.865,38.635,37.198,35.216,32.394,26.499,38.828,43.174,53.15
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,124621.69200000001,134883.07200000001,136709.846,144544.666,163452.568,172342.484,157560.953,170027.715,179983.255,190226.88399999996,197815.693,203616.52300000002,216864.76,228152.195,242526.313,254433.874
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,8667.549,9704.379,10542.642,11564.921,12040.209,12615.707,11111.093,11378.814,12086.494,12933.715,12686.758,14167.943,14617.646,15415.554,16999.203,19114.371
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,19095.24,21086.179,22304.718,23728.81,25680.906,26164.711,21080.9,23617.409,27265.19,27555.865,29653.834,29086.68,30610.896,31141.585,34622.274,35945.004
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",9034.299,10038.298,10122.496,11007.363,13112.287,13053.58,12047.034,12772.888,13064.368,13509.807,14379.416,15400.867,16814.597,18351.784,19434.069,19939.531
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1010.822,1142.408,1213.963,1241.706,1303.352,1393.9,1418.499,1488.644,1549.272,1940.482,2083.954,2137.734,2528.855,3138.166,3365.912,3764.711
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1250.731,1607.706,1777.144,2349.001,2841.08,3598.827,4046.633,4628.851,5028.074,5712.436,6446.933,7123.67,8628.445,9806.172,10774.008,11611.624
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,19216.015,20325.29,21044.36,23241.409,25370.341,27613.703,27475.189,28322.589,29497.095,30584.909,31107.315,32027.258,33235.35,35133.815,36761.856,38454.059
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",2586.744,2958.294,3197.742,3421.779,3734.264,3974.372,3614.636,3900.657,4491.388,4423.336,4326.606,4475.883,4453.173,5154.763,5287.113,5658.052
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,268.459,294.322,321.925,334.77,357.239,383.814,363.702,370.216,385.769,407.43,403.437,414.417,447.591,507.581,551.341,591.078
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",10933.37,11921.497,12469.724,12291.082,12729.354,13206.722,12419.554,12489.553,12996.906,13522.467,14437.193,14881.681,15675.608,16939.506,18899.624,20764.584
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,5147.302,5287.949,5494.758,5841.899,6238.04,6549.264,6727.807,6876.9,7262.63,7013.366,6953.633,6845.952,7483.441,7285.265,7432.646,7574.731
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,3291.499,3115.489,3365.881,3846.918,4180.773,4272.502,4215.196,4423.046,4737.499,4888.428,5138.155,5072.923,4992.146,5135.451,5226.329,5368.713
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",2437.255,2547.891,2501.595,2786.983,3089.888,3182.366,2995.228,3187.436,3186.42,3438.461,3570.71,3285.679,3413.294,3645.82,3800.545,3950.958
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,32380.682,35181.012,32017.471,31804.81,41084.933,44227.868,37483.001,43510.115,45219.865,50529.431,52930.544,55915.26,60576.57,62737.662,65186.629,66815.22
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,2727.403,2963.724,3233.313,3544.943,3548.018,3624.551,3586.154,3635.898,3803.631,4027.835,4032.651,4181.021,4336.028,4590.256,4673.399,4768.836
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",6574.322,6708.634,7102.114,7538.272,8141.884,8480.597,8976.327,9424.699,9408.654,9738.916,9664.554,8599.555,9051.12,9168.815,9511.365,10112.402
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Total<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,1.051989343356,1.050186190597,1.072880710695,1.131087320619,0.827359300361,0.658857427439,0.855509809231,0.989036429161,0.96578637558,0.875559839355,0.879020533814,0.82782087996,0.802708948056,0.741879863014,0.77178353738,0.839092789503
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",1.051989343356,1.050186190597,1.072880710695,1.131087320619,0.827359300361,0.658857427439,0.855509809231,0.989036429161,0.96578637558,0.875559839355,0.879020533814,0.82782087996,0.802708948056,0.741879863014,0.77178353738,0.839092789503
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,12.544985884647,13.005059289602,15.405335199916,15.970933008952,14.440299816207,14.451137356733,14.284539016507,11.883760839189,11.686534426251,10.937987163323,11.309308554508,12.030527677174,10.865756508509,12.632812850286,10.902338511697,10.990823870262
