Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,2991.771,2907.781,3105.884,2960.094,2920.61,2819.519,2753.735,3034.663,2922.111,3006.348,3068.691,3250.897,3467.439,3471.41,3440.731,3374.946
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,668.356,701.298,820.703,821.124,918.636,905.017,929.755,887.353,1039.617,1081.117,1137.529,1097.024,1032.824,1043.214,1132.988,1160.45
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",17.588,17.786,16.862,16.554,17.058,16.171,16.855,18.843999999999998,17.900000000000002,17.091,17.726999999999997,18.834,21.125,20.354,17.897,20.698
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",84.61699999999999,81.465,81.181,77.794,73.23,72.75999999999999,74.174,75.48,71.759,68.014,69.262,71.886,80.204,77.17699999999999,81.835,85.166
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,71.998,67.854,78.34,75.655,86.978,86.343,83.628,108.655,135.661,167.895,198.137,163.65,148.586,150.462,124.624,133.658
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,59.121,59.545,59.684999999999995,65.47,65.288,67.073,71.96400000000001,77.64,72.319,68.379,64.175,57.908,50.837,47.083,44.483,42.351
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,715.551,758.242,841.23,839.096,824.51,738.855,631.812,721.842,772.934,749.8950000000001,761.4549999999999,763.569,755.4159999999999,789.5849999999999,858.756,844.6500000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,564.603,518.233,422.032,408.739,401.171,377.1,313.034,262.925,244.836,288.054,233.276,247.351,214.477,191.67,220.306,221.914
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,104.291,112.555,112.529,111.604,108.709,124.838,126.394,168.755,177.706,152.659,88.625,81.371,75.73,72.446,81.813,84.407
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",7.104,7.301,7.913,8.036000000000001,8.881,9.873000000000001,7.989000000000001,9.383,9.639,10.425999999999998,9.807,8.795,8.568000000000001,88.108,92.40400000000001,58.92
