Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",46403.547999999995,40126.701,49850.689999999995,50923.981,58976.956,57524.452,39247.87,52682.728,61115.126,70705.018,62618.472,62268.882,62388.312,60887.031,87696.702,87748.686
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",1317.841,1330.243,1321.601,1369.013,1416.57,1376.99,1297.957,1338.086,1437.65,1392.952,1013.788,900.291,929.489,978.9,1090.22,1159.942
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,636.765,605.115,696.633,822.834,915.871,967.544,885.923,940.338,937.339,995.679,942.106,808.695,805.077,1109.016,1350.043,1444.137
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,248836.964,257020.73299999995,261622.059,271945.716,281166.376,283979.70000000007,272370.08100000006,290320.18400000007,304072.8439999999,315729.43499999994,324318.6609999999,328556.29300000006,337113.3829999999,346388.574,356286.54799999995,366407.4
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,26014.31,26842.737,27584.074,29537.747,30605.073,31294.9,28375.357,31539.879,34339.863,36517.027,38030.07,39616.524,41582.525,39946.572,42196.965,43221.978
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,45399.123,47039.519,48361.426,51098.542,53594.206,50976.311,41813.175,49555.716,52003.811,52346.347,52270.123,50398.327,52611.144,55751.741,57042.587,59359.293
"Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",31467.152,32906.035,33545.978,34866.986,35723.592,33989.559,31695.124,34034.035,35275.178,36767.399,37948.483,38656.853,40447.692,41076.463,41581.189,42075.412
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,1252.967,1487.762,1781.974,2256.684,2805.545,3236.688,3657.65,3912.052,4215.747,5778.342,6293.539,6891.68,7545.799,10226.246,11046.407,12363.299
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,4324.991,5115.371,4985.445,5503.258,5938.315,7546.426,7175.361,8571.332,9297.712,10729.693,11986.561,14099.862,15678.886,17835.388,18319.799,19147.252
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,59480.965,61462.784,63257.113,65471.299,67526.115,69591.915,70874.283,73359.028,75555.098,77507.189,78120.406,79574.472,81448.298,82473.751,83137.393,84453.242
